Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence summary	HPA evidence	UniProt evidence	MS evidence	Antibody	Reliability (IH)	Reliability (IF)	Subcellular location	RNA tissue category	RNA TS	RNA TS FPKM	FPKM max in non-specific
SOGA3	C6orf174, dJ403A15.3	ENSG00000214338	SOGA family member 3	6	127759551-127840500	Predicted membrane proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA035388, HPA035389	Uncertain			Tissue enriched	5	cerebral cortex: 9.9	adrenal gland: 1.8
SST	SMST	ENSG00000157005	Somatostatin	3	187386694-187388187	Cancer-related genes, Plasma proteins, Predicted secreted proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB000075, HPA019472	Supportive			Group enriched	5	cerebral cortex: 103.6;duodenum: 288.4;pancreas: 165.2;small intestine: 105.4;stomach: 291.7	adrenal gland: 37.5
ST18	KIAA0535, ZC2HC10, ZNF387	ENSG00000147488	Suppression of tumorigenicity 18 (breast carcinoma) (zinc finger protein)	8	53023399-53373519	Protein evidence (Kim et al 2014), Transcription factors	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA044919	Uncertain			Tissue enriched	5	cerebral cortex: 15.6	stomach: 2.9
ST8SIA5	SIAT8E	ENSG00000101638	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 5	18	44259081-44339220	Predicted membrane proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA043813, HPA046771	Uncertain			Group enriched	5	adrenal gland: 9.1;cerebral cortex: 6.1;heart muscle: 4.2;skeletal muscle: 3.0	kidney: 1.1
TMEFF1	C9orf2, CT120.1, H7365	ENSG00000241697	Transmembrane protein with EGF-like and two follistatin-like domains 1	9	103204560-103339918	Predicted membrane proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level		HPA051501	Uncertain			Tissue enriched	5	cerebral cortex: 34.7	testis: 6.4
ZIM2	ZNF656	ENSG00000269699	Zinc finger, imprinted 2	19	57285920-57352097	Transcription factors	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level						Group enriched	5	adrenal gland: 3.0;cerebral cortex: 2.8;ovary: 7.5;placenta: 3.8;testis: 5.6	endometrium: 0.9
AATK	AATYK, AATYK1, KIAA0641, LMR1, LMTK1	ENSG00000181409	Apoptosis-associated tyrosine kinase	17	79091095-79139877	Enzymes, Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA009073	Uncertain	Uncertain	Mitochondria	Tissue enhanced	0	cerebral cortex: 46.5	duodenum: 21.6
ABCG4	WHITE2	ENSG00000172350	ATP-binding cassette, sub-family G (WHITE), member 4	11	119019722-119033360	Predicted membrane proteins, Protein evidence (Kim et al 2014), Transporters	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA040312	Uncertain			Tissue enhanced	0	cerebral cortex: 3.7;testis: 4.4	heart muscle: 1.0
AC008060.7		ENSG00000218672	HCG2000720; Hypothetical gene supported by AK054822; Uncharacterized protein 	7	155174771-155189051		Evidence at transcript level	Evidence at transcript level			HPA045014	Uncertain			Tissue enhanced	0	cerebral cortex: 1.5;fallopian tube: 1.3	endometrium: 0.7
AC012215.1		ENSG00000233863	Uncharacterized protein 	8	35649365-35653384	Predicted membrane proteins	Evidence at transcript level	Evidence at transcript level							Tissue enhanced	0	cerebral cortex: 2.7;duodenum: 2.5	prostate: 1.6
AC069368.3		ENSG00000249240	Uncharacterized protein 	15	65134082-65223118		Evidence at transcript level	Evidence at transcript level							Tissue enhanced	0	cerebral cortex: 2.0	smooth muscle: 1.0
ACSBG1	BG1, BGM, FLJ30320, hBG1, hsBG, KIAA0631, MGC14352	ENSG00000103740	Acyl-CoA synthetase bubblegum family member 1	15	78459810-78538030	Enzymes, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA041642, CAB045955	Uncertain			Tissue enhanced	0	cerebral cortex: 26.0;skin: 14.7	adrenal gland: 8.6
ACSL6	ACS2, FACL6, KIAA0837, LACS2, LACS5	ENSG00000164398	Acyl-CoA synthetase long-chain family member 6	5	131142683-131347936	Cancer-related genes, Disease related genes, Enzymes, Mitochondrial proteins, Potential drug targets, Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA040470	Uncertain			Tissue enhanced	0	cerebral cortex: 41.8;testis: 39.9	bone marrow: 21.1
ADAM11	MDC	ENSG00000073670	ADAM metallopeptidase domain 11	17	42836399-42859214	Enzymes, Predicted membrane proteins, Predicted secreted proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA053299		Uncertain	Nucleus but not nucleoli	Tissue enhanced	0	cerebral cortex: 14.4;heart muscle: 7.4	testis: 4.0
ADAM22	MDC2	ENSG00000008277	ADAM metallopeptidase domain 22	7	87563458-87832204	Enzymes, Predicted membrane proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA045282	Uncertain	Uncertain	Nucleus, Cytoskeleton (Intermediate filaments)	Tissue enhanced	0	cerebral cortex: 26.4	adrenal gland: 9.4
ADAM23	MDC3	ENSG00000114948	ADAM metallopeptidase domain 23	2	207308263-207485851	Enzymes, Predicted membrane proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA012130, CAB033276	Uncertain	Uncertain	Cytoplasm, Cytoskeleton (Microtubules)	Tissue enhanced	0	cerebral cortex: 28.9;heart muscle: 19.4	testis: 6.2
ADCY2	AC2, HBAC2, KIAA1060	ENSG00000078295	Adenylate cyclase 2 (brain)	5	7396321-7830194	Enzymes, Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB031482, HPA038015, HPA038483	Supportive			Tissue enhanced	0	cerebral cortex: 72.6;skeletal muscle: 79.9	skin: 27.9
ADCYAP1	PACAP	ENSG00000141433	Adenylate cyclase activating polypeptide 1 (pituitary)	18	904944-912173	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level						Tissue enhanced	0	appendix: 12.8;cerebral cortex: 13.5	gallbladder: 8.1
ADCYAP1R1	PAC1, PAC1R, PACAPR	ENSG00000078549	Adenylate cyclase activating polypeptide 1 (pituitary) receptor type I	7	31092076-31151089	G-protein coupled receptors, Predicted membrane proteins, Predicted secreted proteins, Protein evidence (Kim et al 2014), Transporters	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA049877	Uncertain			Tissue enhanced	0	cerebral cortex: 72.6;fallopian tube: 34.3	adrenal gland: 13.1
ADORA1	RDC7	ENSG00000163485	Adenosine A1 receptor	1	203059782-203136533	FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins, Protein evidence (Kim et al 2014), Transporters	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA052157, HPA053037		Uncertain	Nucleus, Nucleoli	Tissue enhanced	0	cerebral cortex: 25.8;testis: 17.9	heart muscle: 7.5
ADRA1B		ENSG00000170214	Adrenoceptor alpha 1B	5	159343790-159399551	Cancer-related genes, FDA approved drug targets, G-protein coupled receptors, Plasma proteins, Predicted membrane proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level						Tissue enhanced	0	cerebral cortex: 7.9;spleen: 11.8	kidney: 3.9
AGAP2	CENTG1	ENSG00000135439	ArfGAP with GTPase domain, ankyrin repeat and PH domain 2	12	58118980-58135940	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA023474	Uncertain	Supportive	Nucleus, Nucleoli, Mitochondria	Tissue enhanced	0	cerebral cortex: 64.1	lymph node: 13.0
AGBL4	FLJ14442	ENSG00000186094	ATP/GTP binding protein-like 4	1	48998527-50489585	Enzymes	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA037994	Uncertain			Tissue enhanced	0	cerebral cortex: 6.0;fallopian tube: 4.6	testis: 3.0
AJAP1	MOT8, SHREW-1, SHREW1	ENSG00000196581	Adherens junctions associated protein 1	1	4714792-4852594	Predicted membrane proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA012157	Uncertain			Tissue enhanced	0	cerebral cortex: 6.4;ovary: 4.9	kidney: 4.0
AKAP5	AKAP75, AKAP79	ENSG00000179841	A kinase (PRKA) anchor protein 5	14	64932217-64941221	Plasma proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB004308, HPA053891	Supportive	Uncertain	Nucleus but not nucleoli	Tissue enhanced	0	cerebral cortex: 14.3	colon: 4.7
AL450307.1		ENSG00000189275	Uncharacterized protein; cDNA FLJ46300 fis, clone TESTI4035989 	10	133604734-133622535	Predicted membrane proteins	Evidence at transcript level	Evidence at transcript level			HPA051670	Uncertain			Tissue enhanced	0	cerebral cortex: 1.1	testis: 0.2
AL583828.1		ENSG00000187461		6	13469513-13486415		Evidence at transcript level	Evidence at transcript level			HPA038363	Uncertain			Tissue enhanced	0	cerebral cortex: 1.5	heart muscle: 0.8
AL626787.1		ENSG00000267884		1	166026679-166028709		Evidence at transcript level	Evidence at transcript level			HPA027918	Uncertain			Tissue enhanced	0	cerebral cortex: 1.6	skeletal muscle: 0.7
ALK	CD246	ENSG00000171094	Anaplastic lymphoma receptor tyrosine kinase	2	29415640-30144432	Cancer-related genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA010694	Uncertain			Tissue enhanced	0	cerebral cortex: 1.4;testis: 1.5	adrenal gland: 0.4
AMZ1	KIAA1950	ENSG00000174945	Archaelysin family metallopeptidase 1	7	2719156-2815134	Enzymes	Evidence at protein level	Evidence at transcript level	Evidence at protein level		HPA020233	Uncertain			Tissue enhanced	0	cerebral cortex: 3.0	endometrium: 1.2
ANKRD24	KIAA1981	ENSG00000089847	Ankyrin repeat domain 24	19	4183351-4224811	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA041534, HPA048498	Uncertain	Uncertain	Cytoplasm, Cytoskeleton (Microtubules)	Tissue enhanced	0	cerebral cortex: 8.0	testis: 5.5
ANKRD34C		ENSG00000235711	Ankyrin repeat domain 34C	15	79575146-79590580	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA045329	Uncertain	Uncertain	Mitochondria	Tissue enhanced	0	cerebral cortex: 1.2	heart muscle: 0.3
ANKS1B	AIDA-1, ANKS2, cajalin-2, EB-1	ENSG00000185046	Ankyrin repeat and sterile alpha motif domain containing 1B	12	99120235-100378432	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA044628	Uncertain			Tissue enhanced	0	cerebral cortex: 69.5;testis: 30.1	ovary: 11.1
ANLN	ANILLIN, scra, Scraps	ENSG00000011426	Anillin, actin binding protein	7	36429415-36493400	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA005680, CAB033902, HPA050556, CAB062547, CAB068175	Supportive	Supportive	Nucleus but not nucleoli	Tissue enhanced	0	cerebral cortex: 56.6	bone marrow: 24.1
ANO3	C11orf25, DYT23, GENX-3947, TMEM16C	ENSG00000134343	Anoctamin 3	11	26210829-26684835	Disease related genes, Predicted membrane proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level		HPA041629	Uncertain			Tissue enhanced	0	cerebral cortex: 6.8	adipose tissue: 2.6
AP3B2	NAPTB	ENSG00000103723	Adaptor-related protein complex 3, beta 2 subunit	15	83328033-83378666	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA039467, HPA039818	Supportive	Uncertain	Nucleus but not nucleoli, Plasma membrane, Cytoplasm, Golgi apparatus	Tissue enhanced	0	cerebral cortex: 44.6	adrenal gland: 10.2
APBA1	D9S411E, MINT1, X11	ENSG00000107282	Amyloid beta (A4) precursor protein-binding, family A, member 1	9	72042446-72287222	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB009338, HPA019850	Supportive			Tissue enhanced	0	cerebral cortex: 20.0	ovary: 8.3
APBA2	D15S1518E, HsT16821, LIN-10, MGC:14091, MINT2, X11L	ENSG00000034053	Amyloid beta (A4) precursor protein-binding, family A, member 2	15	29129629-29410518	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB037065, HPA039400, HPA040053	Uncertain	Uncertain	Nucleus, Cytoplasm, Plasma membrane, Golgi apparatus	Tissue enhanced	0	cerebral cortex: 48.4	spleen: 11.8
ARC	Arg3.1, KIAA0278	ENSG00000198576	Activity-regulated cytoskeleton-associated protein	8	143692405-143696833	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB009347	Supportive			Tissue enhanced	0	adipose tissue: 7.3;adrenal gland: 8.7;cerebral cortex: 5.9	gallbladder: 2.1
ARHGDIG	RHOGDI-3	ENSG00000242173	Rho GDP dissociation inhibitor (GDI) gamma	16	318726-333003		Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA053974	Supportive			Tissue enhanced	0	cerebral cortex: 55.3;duodenum: 31.2;pancreas: 28.9	small intestine: 14.8
ARHGEF4	ASEF, KIAA1112, STM6	ENSG00000136002	Rho guanine nucleotide exchange factor (GEF) 4	2	131594489-131804836	Plasma proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA018267	Uncertain			Tissue enhanced	0	cerebral cortex: 75.5;skin: 81.2	esophagus: 34.7
ASIC2	ACCN, ACCN1, ASIC2a, BNaC1, BNC1, hBNaC1, MDEG	ENSG00000108684	Acid-sensing (proton-gated) ion channel 2	17	31340105-32501983	Plasma proteins, Predicted membrane proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA052112	Uncertain			Tissue enhanced	0	cerebral cortex: 7.8;endometrium: 9.5;smooth muscle: 5.0	fallopian tube: 1.7
ASPHD1		ENSG00000174939	Aspartate beta-hydroxylase domain containing 1	16	29911696-29931185	Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA045175	Supportive			Tissue enhanced	0	cerebral cortex: 27.3	stomach: 11.1
ASTN1	ASTN	ENSG00000152092	Astrotactin 1	1	176826438-177134109	Plasma proteins, Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level					Tissue enhanced	0	adrenal gland: 14.9;cerebral cortex: 37.7	ovary: 5.9
ATL1	AD-FSP, FSP1, SPG3, SPG3A	ENSG00000198513	Atlastin GTPase 1	14	50999227-51099786	Disease related genes, Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA027550	Uncertain			Tissue enhanced	0	cerebral cortex: 52.7	smooth muscle: 15.8
ATOH7	bHLHa13, Math5	ENSG00000179774	Atonal homolog 7 (Drosophila)	10	69990386-69991871	Disease related genes, Transcription factors	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA027008	Uncertain			Tissue enhanced	0	cerebral cortex: 1.2	kidney: 0.4
ATP1A2	FHM2, MHP2	ENSG00000018625	ATPase, Na+/K+ transporting, alpha 2 polypeptide	1	160085549-160113381	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014), Transporters	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	CAB022230	Uncertain			Tissue enhanced	0	cerebral cortex: 233.2;skeletal muscle: 362.2	heart muscle: 70.0
ATP2B2	PMCA2	ENSG00000157087	ATPase, Ca++ transporting, plasma membrane 2	3	10365707-10749716	Enzymes, Plasma proteins, Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014), Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB005606	Supportive			Tissue enhanced	0	cerebral cortex: 42.5;salivary gland: 19.3;skeletal muscle: 20.5	liver: 5.9
ATRNL1	ALP, FLJ45344, KIAA0534	ENSG00000107518	Attractin-like 1	10	116853124-117708503	Predicted membrane proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA038070	Uncertain	Uncertain	Mitochondria, Nucleus	Tissue enhanced	0	cerebral cortex: 24.4	smooth muscle: 20.6
B3GALT1	beta3Gal-T1	ENSG00000172318	UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 1	2	168675182-168730551	Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA014801	Uncertain			Tissue enhanced	0	cerebral cortex: 4.3;colon: 5.2;rectum: 5.1	skeletal muscle: 2.4
B3GALT2	beta3Gal-T2	ENSG00000162630	UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 2	1	193148175-193155784	Predicted membrane proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA055372	Uncertain			Tissue enhanced	0	cerebral cortex: 18.1;gallbladder: 19.3;heart muscle: 18.2	ovary: 11.4
B3GNT1	B3GN-T1, B3GNT6, BETA3GNTI, iGAT, iGNT	ENSG00000174684	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 1	11	66112843-66115163	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA015484	Supportive			Tissue enhanced	0	cerebral cortex: 94.6	adrenal gland: 36.3
B4GALNT4	FLJ25045, NGalNAc-T1	ENSG00000182272	Beta-1,4-N-acetyl-galactosaminyl transferase 4	11	369796-382116	Enzymes, Predicted secreted proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA053126	Supportive	Uncertain	Nucleus but not nucleoli, Cytoskeleton (Microtubules)	Tissue enhanced	0	cerebral cortex: 17.3	ovary: 9.5
BASP1	CAP-23, CAP23, NAP-22, NAP22	ENSG00000176788	Brain abundant, membrane attached signal protein 1	5	17065707-17276943	Cytoskeleton related proteins, Plasma proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014), Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA045218, HPA050333	Supportive	Supportive	Plasma membrane	Tissue enhanced	0	cerebral cortex: 163.9	tonsil: 72.2
BCAS1	AIBC1, NABC1	ENSG00000064787	Breast carcinoma amplified sequence 1	20	52553316-52687304	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB033558, HPA051816, HPA054745	Supportive			Tissue enhanced	0	cerebral cortex: 81.2;stomach: 119.8	rectum: 71.9
BDNF		ENSG00000176697	Brain-derived neurotrophic factor	11	27676440-27743605	Cancer-related genes, Disease related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	CAB009564	Uncertain			Tissue enhanced	0	cerebral cortex: 8.0	lung: 2.8
BEGAIN	KIAA1446	ENSG00000183092	Brain-enriched guanylate kinase-associated	14	101003486-101053750	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA002899	Uncertain	Uncertain	Nucleus, Golgi apparatus, Nucleoli	Tissue enhanced	0	cerebral cortex: 9.0	pancreas: 5.3
BEST3	MGC13168, MGC40411, VMD2L3	ENSG00000127325	Bestrophin 3	12	70037140-70093256	Predicted membrane proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA054582	Uncertain			Tissue enhanced	0	cerebral cortex: 6.6;skeletal muscle: 15.2	prostate: 3.4
BEX1		ENSG00000133169	Brain expressed, X-linked 1	X	102317579-102319168		Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA042224, HPA045384	Uncertain			Tissue enhanced	0	cerebral cortex: 232.6	adrenal gland: 70.6
BEX2	DJ79P11.1	ENSG00000133134	Brain expressed X-linked 2	X	102564274-102565974		Evidence at protein level	Evidence at transcript level	Evidence at protein level		HPA042224, HPA045384	Uncertain			Tissue enhanced	0	cerebral cortex: 126.4	thyroid gland: 108.5
BEX5	NGFRAP1L1	ENSG00000184515	Brain expressed, X-linked 5	X	101408680-101411029		Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA059058	Uncertain			Tissue enhanced	0	cerebral cortex: 42.7	thyroid gland: 15.3
BHLHE22	Beta3, BHLHB5, bHLHe22, CAGL85, TNRC20	ENSG00000180828	Basic helix-loop-helix family, member e22	8	65492814-65496181	Protein evidence (Kim et al 2014), Transcription factors	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA064128, HPA064872, HPA067500	Supportive			Tissue enhanced	0	cerebral cortex: 6.3	appendix: 1.3
BRINP3	DBCCR1L, DBCCR1L1, FAM5C	ENSG00000162670	Bone morphogenetic protein/retinoic acid inducible neural-specific 3	1	190066792-190446759	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level		HPA054693	Uncertain			Tissue enhanced	0	cerebral cortex: 24.9;small intestine: 16.2	rectum: 8.6
BRSK2	C11orf7, PEN11B, STK29	ENSG00000174672	BR serine/threonine kinase 2	11	1411129-1483919	Enzymes, Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level					Tissue enhanced	0	cerebral cortex: 37.6;pancreas: 46.9	testis: 9.3
C12orf68	LOC387856	ENSG00000177875	Chromosome 12 open reading frame 68	12	48577366-48579709		Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA039947, HPA041715	Uncertain			Tissue enhanced	0	cerebral cortex: 7.9	adrenal gland: 4.9
C14orf132	C14orf88	ENSG00000227051	Chromosome 14 open reading frame 132	14	96505661-96560417	Predicted membrane proteins	Evidence at transcript level	Evidence at transcript level	No evidence		HPA021614	Uncertain			Tissue enhanced	0	cerebral cortex: 43.7	fallopian tube: 26.3
C15orf59	LOC388135, MGC131524	ENSG00000205363	Chromosome 15 open reading frame 59	15	74032141-74045088		Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA041563	Uncertain	Uncertain	Nucleus but not nucleoli, Cytoplasm	Tissue enhanced	0	cerebral cortex: 33.2	heart muscle: 21.6
C17orf96	LOC100170841	ENSG00000179294	Chromosome 17 open reading frame 96	17	36827961-36831187		Evidence at protein level	Evidence at protein level	Evidence at protein level		HPA056555	Uncertain	Uncertain	Nucleus but not nucleoli, Cytoplasm	Tissue enhanced	0	cerebral cortex: 6.8	testis: 6.6
C19orf26	DOS, MGC40084	ENSG00000099625	Chromosome 19 open reading frame 26	19	1228286-1238026	Predicted membrane proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA012777	Uncertain	Uncertain	Nucleus but not nucleoli	Tissue enhanced	0	adrenal gland: 3.8;cerebral cortex: 8.4	skin: 1.4
C1orf64	ERRF, MGC24047	ENSG00000183888	Chromosome 1 open reading frame 64	1	16330731-16335302		Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA026676	Uncertain			Tissue enhanced	0	cerebral cortex: 1.3;endometrium: 1.1;salivary gland: 2.1	kidney: 0.9
C1orf95	DKFZp761P211	ENSG00000203685	Chromosome 1 open reading frame 95	1	226736501-226796915	Predicted membrane proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level					Tissue enhanced	0	cerebral cortex: 21.1	urinary bladder: 12.9
C21orf37		ENSG00000232560	Chromosome 21 open reading frame 37	21	18811208-18821503		Evidence at transcript level	Evidence at transcript level	No evidence		HPA017390	Uncertain			Tissue enhanced	0	cerebral cortex: 1.4;salivary gland: 2.0	testis: 1.0
C22orf24	HSN44A4A	ENSG00000128254	Chromosome 22 open reading frame 24	22	32329507-32341504		Evidence at transcript level	Evidence at transcript level	Evidence at transcript level						Tissue enhanced	0	cerebral cortex: 1.3	bone marrow: 0.7
C2orf82	ASCL830, UNQ830	ENSG00000182600	Chromosome 2 open reading frame 82	2	233721980-233743418	Predicted membrane proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA052824	Supportive			Tissue enhanced	0	cerebral cortex: 6.8	colon: 4.7
C3orf80		ENSG00000180044	Chromosome 3 open reading frame 80	3	159943423-159945999	Predicted membrane proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA047439	Uncertain			Tissue enhanced	0	cerebral cortex: 5.9	esophagus: 2.8
C5orf64	FLJ37543	ENSG00000178722	Chromosome 5 open reading frame 64	5	60933535-61047590		Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA045950	Uncertain			Tissue enhanced	0	cerebral cortex: 2.6	adipose tissue: 0.6
C8orf56	MGC39526	ENSG00000236939	Chromosome 8 open reading frame 56	8	104145191-104153703		Evidence at transcript level	Evidence at transcript level	No evidence						Tissue enhanced	0	cerebral cortex: 3.0	skin: 0.8
C9orf172		ENSG00000232434	Chromosome 9 open reading frame 172	9	139738867-139741797	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	No evidence	Evidence at protein level	HPA021200	Uncertain	Uncertain	Cytoplasm, Focal Adhesions	Tissue enhanced	0	cerebral cortex: 1.7	prostate: 1.1
CA10	CA-RPX, CARPX, HUCEP-15	ENSG00000154975	Carbonic anhydrase X	17	49707674-50237377	Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA054825	Uncertain			Tissue enhanced	0	cerebral cortex: 56.4	testis: 13.8
