Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence summary	HPA evidence	UniProt evidence	MS evidence	Antibody	Reliability (IH)	Reliability (IF)	Subcellular location	RNA tissue category	RNA TS	RNA TS FPKM	FPKM max in non-specific
ALPK3	KIAA1330, MAK, Midori	ENSG00000136383	Alpha-kinase 3	15	85359911-85416713	Enzymes, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA026558	Uncertain	Uncertain	Nucleus	Group enriched	8	adipose tissue: 15.4;heart muscle: 48.4;skeletal muscle: 71.7	esophagus: 5.9
BIN1	AMPH2, AMPHL, SH3P9	ENSG00000136717	Bridging integrator 1	2	127805603-127864931	Disease related genes, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB001945, HPA003894, HPA005437	Supportive	Supportive	Cytoplasm	Tissue enriched	8	skeletal muscle: 643.8	cerebral cortex: 80.9
CAV3	LGMD1C, LQT9, VIP-21, VIP21	ENSG00000182533	Caveolin 3	3	8775486-8883492	Disease related genes, Predicted membrane proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB017518, CAB018557	Supportive			Group enriched	8	heart muscle: 16.9;skeletal muscle: 71.3	esophagus: 5.7
COX7A1	COX7A, COX7AH	ENSG00000161281	Cytochrome c oxidase subunit VIIa polypeptide 1 (muscle)	19	36641824-36643771	Mitochondrial proteins, Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014), Transporters	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level					Group enriched	8	heart muscle: 474.5;skeletal muscle: 964.2	adipose tissue: 95.2
HHATL	C3orf3, GUP1, KIAA1173, MBOAT3, MSTP002, OACT3	ENSG00000010282	Hedgehog acyltransferase-like	3	42734155-42744319	Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA018174	Supportive			Group enriched	8	heart muscle: 409.4;skeletal muscle: 154.4	cerebral cortex: 36.8
LRRC2		ENSG00000163827	Leucine rich repeat containing 2	3	46556913-46621589	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA039138, HPA040096	Uncertain	Uncertain	Nucleus but not nucleoli, Cytoplasm	Group enriched	8	heart muscle: 36.5;skeletal muscle: 64.3;thyroid gland: 21.3	ovary: 4.9
MAPK12	ERK6, p38gamma, PRKM12, SAPK-3, SAPK3	ENSG00000188130	Mitogen-activated protein kinase 12	22	50683879-50700254	Disease related genes, Enzymes, Mitochondrial proteins, Potential drug targets, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB025483, HPA054562	Uncertain	Supportive	Nucleus but not nucleoli, Cytoplasm	Tissue enriched	8	skeletal muscle: 107.8	cerebral cortex: 13.0
MLF1		ENSG00000178053	Myeloid leukemia factor 1	3	158288952-158325041	Cancer-related genes, Disease related genes, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA017903	Uncertain	Supportive	Nucleus, Cytoplasm	Group enriched	8	fallopian tube: 71.7;heart muscle: 118.3;skeletal muscle: 92.5;testis: 297.7	lung: 18.1
MURC	cavin-4, CAVIN4	ENSG00000170681	Muscle-related coiled-coil protein	9	103340361-103350188	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA020973, HPA020987, HPA021021	Supportive			Group enriched	8	heart muscle: 37.1;skeletal muscle: 108.7	prostate: 9.2
MYOD1	bHLHc1, MYF3, MYOD, PUM	ENSG00000129152	Myogenic differentiation 1	11	17741115-17743678	Cancer-related genes, Transcription factors	Evidence at protein level	Evidence at protein level	Evidence at protein level		CAB002511, HPA051362	Uncertain	Supportive	Nucleus but not nucleoli, Cytoplasm	Tissue enriched	8	skeletal muscle: 10.1	prostate: 1.3
MYOG	bHLHc3, MYF4	ENSG00000122180	Myogenin (myogenic factor 4)	1	203052260-203055164	Cancer-related genes, Plasma proteins, Transcription factors	Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA038093	Uncertain	Uncertain	Microtubule organizing center, Nucleus but not nucleoli	Tissue enriched	8	skeletal muscle: 31.6	prostate: 3.9
MYOM3	FLJ35961	ENSG00000142661	Myomesin 3	1	24382525-24438665	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA028132, HPA029752	Uncertain	Uncertain	Cytoplasm, Nucleus but not nucleoli	Group enriched	8	heart muscle: 81.5;kidney: 29.9;skeletal muscle: 97.5	prostate: 9.1
NKAIN1	FAM77C, FLJ12650	ENSG00000084628	Na+/K+ transporting ATPase interacting 1	1	31652592-31712401	Predicted membrane proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA006873	Uncertain			Group enriched	8	adrenal gland: 10.4;cerebral cortex: 7.2;skeletal muscle: 9.2	prostate: 1.1
PITX3	ASMD	ENSG00000107859	Paired-like homeodomain 3	10	103989943-104001231	Disease related genes, Transcription factors	Evidence at protein level	Evidence at protein level	Evidence at protein level		HPA044639	Uncertain			Tissue enriched	8	skeletal muscle: 6.2	adipose tissue: 0.8
RGS9BP	FLJ45744, PERRS, R9AP, RGS9	ENSG00000186326	Regulator of G protein signaling 9 binding protein	19	33166313-33169206	Disease related genes, Predicted membrane proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA049791	Uncertain			Tissue enriched	8	skeletal muscle: 3.2	heart muscle: 0.4
RXRG	NR2B3	ENSG00000143171	Retinoid X receptor, gamma	1	165370159-165414433	Cancer-related genes, FDA approved drug targets, Nuclear receptors, Plasma proteins, Transcription factors	Evidence at protein level	Evidence at transcript level	Evidence at protein level		CAB002615	Uncertain			Tissue enriched	8	skeletal muscle: 39.8	heart muscle: 4.8
SH3BGR	21-GARP	ENSG00000185437	SH3 domain binding glutamic acid-rich protein	21	40817781-40887433	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB003685, HPA030690	Supportive	Uncertain	Plasma membrane, Cytoplasm	Group enriched	8	heart muscle: 105.2;skeletal muscle: 304.8	prostate: 25.4
SIX1	DFNA23	ENSG00000126778	SIX homeobox 1	14	61110133-61124977	Disease related genes, Protein evidence (Ezkurdia et al 2014), Transcription factors	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA001893, CAB058690	Supportive	Supportive	Nucleus	Group enriched	8	prostate: 13.5;salivary gland: 36.2;skeletal muscle: 65.6	adipose tissue: 4.9
SRPK3	MSSK1, STK23	ENSG00000184343	SRSF protein kinase 3	X	153041867-153051187	Enzymes	Evidence at protein level	Evidence at protein level	Evidence at protein level		HPA042489	Uncertain			Group enriched	8	heart muscle: 26.3;skeletal muscle: 68.0	prostate: 6.1
TXLNB	C6orf198, dJ522B19.2, DKFZp451A175, MDP77	ENSG00000164440	Taxilin beta	6	139561198-139613276	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA030401, HPA030402, HPA030403	Supportive			Group enriched	8	heart muscle: 60.8;skeletal muscle: 111.5	ovary: 10.4
C1orf167	DKFZp434E1410, RP11-56N19.2	ENSG00000215910	Chromosome 1 open reading frame 167	1	11821844-11849642		Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA039114	Supportive			Group enriched	7	skeletal muscle: 9.5;testis: 27.5	lung: 2.6
CAND2	KIAA0667, TIP120B, Tp120b	ENSG00000144712	Cullin-associated and neddylation-dissociated 2 (putative)	3	12837971-12913415	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA005777	Uncertain	Uncertain	Nucleus, Cytoplasm	Group enriched	7	heart muscle: 18.5;skeletal muscle: 48.6;testis: 15.1	cerebral cortex: 4.2
CKM	CKMM	ENSG00000104879	Creatine kinase, muscle	19	45809672-45826235	Candidate cardiovascular disease genes, Enzymes, FDA approved drug targets, Plasma proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA047859	Supportive			Tissue enriched	7	skeletal muscle: 8139.3	heart muscle: 1172.1
KBTBD12	FLJ46299, KLHDC6	ENSG00000187715	Kelch repeat and BTB (POZ) domain containing 12	3	127634075-127706514	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA044182	Uncertain			Group enriched	7	heart muscle: 10.9;skeletal muscle: 24.1	stomach: 2.5
LMO1	RBTN1, RHOM1, TTG1	ENSG00000166407	LIM domain only 1 (rhombotin 1)	11	8245851-8290263	Cancer-related genes, Disease related genes	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level						Group enriched	7	skeletal muscle: 13.1;skin: 4.2	adrenal gland: 1.2
MAFA	hMafA, RIPE3b1	ENSG00000182759	V-maf avian musculoaponeurotic fibrosarcoma oncogene homolog A	8	144501352-144512576	Protein evidence (Kim et al 2014), Transcription factors	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level					Group enriched	7	skeletal muscle: 9.0;testis: 1.8	pancreas: 0.8
MYBPH		ENSG00000133055	Myosin binding protein H	1	203136939-203144941	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level					Group enriched	7	prostate: 4.5;skeletal muscle: 9.3	kidney: 1.0
MYH7B	dJ756N5.1, KIAA1512, MHC14, MYH14	ENSG00000078814	Myosin, heavy chain 7B, cardiac muscle, beta	20	33563206-33590240	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level					Group enriched	7	heart muscle: 45.2;skeletal muscle: 55.8	testis: 7.4
NT5C1A	CN-I, CN-IA, CN1, CN1A, MGC119199, MGC119201	ENSG00000116981	5'-nucleotidase, cytosolic IA	1	40124793-40137710	Enzymes, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA050283, HPA054158	Supportive			Group enriched	7	heart muscle: 7.1;skeletal muscle: 27.3	cerebral cortex: 2.5
POPDC3	bA355M14.1, MGC22671, POP3	ENSG00000132429	Popeye domain containing 3	6	105606155-105627870	Predicted membrane proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA012514	Uncertain	Supportive	Nucleoli, Cytoplasm	Group enriched	7	heart muscle: 38.4;skeletal muscle: 91.6	testis: 8.9
RP11-155D18.14		ENSG00000272762	Poly(rC)-binding protein 4 	3	51994317-52008032		Evidence at transcript level	Evidence at transcript level							Tissue enriched	7	skeletal muscle: 4.0	appendix: 0.6
RP5-966M1.6		ENSG00000243696	Musculoskeletal embryonic nuclear protein 1 	3	52847298-52869745		Evidence at transcript level	Evidence at transcript level							Group enriched	7	liver: 26.8;skeletal muscle: 26.0	spleen: 3.9
SPTB		ENSG00000070182	Spectrin, beta, erythrocytic	14	65213002-65346601	Disease related genes, Plasma proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA003394, HPA003398, CAB015169, CAB016232	Supportive	Supportive	Cytoplasm, Golgi apparatus	Group enriched	7	bone marrow: 38.0;heart muscle: 17.7;skeletal muscle: 57.3	cerebral cortex: 5.5
TAL2	bHLHa19	ENSG00000186051	T-cell acute lymphocytic leukemia 2	9	108424738-108425367	Cancer-related genes, Disease related genes, Transcription factors	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA030886	Uncertain			Group enriched	7	kidney: 1.9;skeletal muscle: 5.0	cerebral cortex: 0.5
TMEM52		ENSG00000178821	Transmembrane protein 52	1	1849029-1850712	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA024562	Uncertain			Group enriched	7	pancreas: 86.9;skeletal muscle: 142.8	adrenal gland: 17.6
TPM2	AMCD1, DA1, NEM4	ENSG00000198467	Tropomyosin 2 (beta)	9	35681989-35691017	Cancer-related genes, Disease related genes, Plasma proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level					Tissue enriched	7	skeletal muscle: 6561.6	smooth muscle: 981.0
UPK3A	UPK3	ENSG00000100373	Uroplakin 3A	22	45680863-45691755	Disease related genes, Predicted membrane proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level		HPA018407, HPA018415	Supportive			Group enriched	7	prostate: 15.7;skeletal muscle: 12.4;urinary bladder: 11.8	salivary gland: 1.8
ACHE	YT	ENSG00000087085	Acetylcholinesterase (Yt blood group)	7	100487615-100494594	Blood group antigen proteins, Enzymes, FDA approved drug targets, Predicted membrane proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA019704	Supportive	Uncertain	Plasma membrane, Vesicles, Nucleus but not nucleoli	Tissue enriched	6	skeletal muscle: 63.4	bone marrow: 11.4
ACTA1	ACTA, NEM3	ENSG00000143632	Actin, alpha 1, skeletal muscle	1	229566992-229569845	Cytoskeleton related proteins, Disease related genes, Plasma proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB000045, HPA041264, HPA041271	Supportive			Tissue enriched	6	skeletal muscle: 11527.7	heart muscle: 1884.7
ASB15	FLJ43370	ENSG00000146809	Ankyrin repeat and SOCS box containing 15	7	123207064-123277951	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA028853	Uncertain			Group enriched	6	heart muscle: 21.1;skeletal muscle: 49.8	kidney: 5.5
C20orf26	dJ1002M8.3, DKFZP434K156	ENSG00000089101	Chromosome 20 open reading frame 26	20	20033158-20341346	Predicted membrane proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA009079	Uncertain			Group enriched	6	fallopian tube: 19.5;heart muscle: 14.4;skeletal muscle: 7.5;testis: 21.3	lung: 2.6
CACNB1	CACNLB1	ENSG00000067191	Calcium channel, voltage-dependent, beta 1 subunit	17	37329709-37353956	FDA approved drug targets, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB009779, HPA023343	Uncertain			Tissue enriched	6	skeletal muscle: 192.0	cerebral cortex: 30.8
CAMK2B	CAM2, CAMK2, CAMKB	ENSG00000058404	Calcium/calmodulin-dependent protein kinase II beta	7	44256749-44374176	Enzymes, Plasma proteins, Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB006849, HPA026307, HPA051783, HPA051785, HPA053973	Supportive			Group enriched	6	cerebral cortex: 99.4;heart muscle: 47.0;skeletal muscle: 44.9	adrenal gland: 10.5
CARNS1	ATPGD1, KIAA1394	ENSG00000172508	Carnosine synthase 1	11	67182439-67193078	Enzymes, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA038569, HPA038570	Supportive			Group enriched	6	cerebral cortex: 40.1;skeletal muscle: 41.1	thyroid gland: 7.0
COQ10A	FLJ32452	ENSG00000135469	Coenzyme Q10 homolog A (S. cerevisiae)	12	56660642-56664750	Mitochondrial proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level					Group enriched	6	adrenal gland: 36.5;heart muscle: 94.8;skeletal muscle: 155.8	fallopian tube: 17.0
DCUN1D2	C13orf17, FLJ10704, FLJ20092	ENSG00000150401	DCN1, defective in cullin neddylation 1, domain containing 2	13	114110134-114145267	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA039349	Uncertain	Uncertain	Plasma membrane, Cytoplasm	Group enriched	6	heart muscle: 104.4;skeletal muscle: 76.2	testis: 15.0
DDIT4L	REDD2, Rtp801L	ENSG00000145358	DNA-damage-inducible transcript 4-like	4	101107027-101111939		Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA050903	Uncertain			Tissue enriched	6	skeletal muscle: 120.7	prostate: 19.3
DDN	KIAA0749	ENSG00000181418	Dendrin	12	49388932-49393092	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA060952	Uncertain			Group enriched	6	cerebral cortex: 46.4;skeletal muscle: 47.5	kidney: 8.0
DUSP13	BEDP, DUSP13A, DUSP13B, FLJ32450, TMDP	ENSG00000079393	Dual specificity phosphatase 13	10	76854192-76868979	Enzymes, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level		HPA024162	Uncertain			Tissue enriched	6	skeletal muscle: 180.8	testis: 32.3
HRASLS	H-REV107, HRASLS1	ENSG00000127252	HRAS-like suppressor	3	192958914-192995527	Predicted membrane proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA051179	Uncertain	Uncertain	Focal Adhesions, Cytoplasm	Group enriched	6	skeletal muscle: 32.7;testis: 49.3	thyroid gland: 6.7
IGFN1	DKFZp434B1231, EEF1A2BP1	ENSG00000163395	Immunoglobulin-like and fibronectin type III domain containing 1	1	201159953-201198080	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA039566, HPA050415		Supportive	Cytoplasm, Cytoskeleton (Cytokinetic bridge), Cytoskeleton (Microtubules)	Group enriched	6	endometrium: 13.5;skeletal muscle: 66.2	thyroid gland: 6.8
KCNJ11	BIR, Kir6.2	ENSG00000187486	Potassium inwardly-rectifying channel, subfamily J, member 11	11	17407406-17410878	Disease related genes, FDA approved drug targets, Predicted membrane proteins, Voltage-gated ion channels	Evidence at protein level	Evidence at transcript level	Evidence at protein level		HPA048891	Uncertain			Tissue enriched	6	skeletal muscle: 31.0	heart muscle: 5.5
KCNJ12	hIRK1, IRK2, KCNJN1, Kir2.2, Kir2.2v	ENSG00000184185	Potassium inwardly-rectifying channel, subfamily J, member 12	17	21279509-21323179	FDA approved drug targets, Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Voltage-gated ion channels	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA027021	Uncertain			Tissue enriched	6	skeletal muscle: 26.6	heart muscle: 4.5
KLHL31	bA345L23.2, BKLHD6, KBTBD1	ENSG00000124743	Kelch-like family member 31	6	53512699-53530506	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA009298	Uncertain			Group enriched	6	heart muscle: 34.1;skeletal muscle: 57.4	adipose tissue: 7.2
LRRC3B	LRP15	ENSG00000179796	Leucine rich repeat containing 3B	3	26664297-26752267	Predicted membrane proteins, Predicted secreted proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA015568	Uncertain			Group enriched	6	cerebral cortex: 11.1;skeletal muscle: 4.5;testis: 5.5	ovary: 1.2
MLIP	C6orf142, MGC18257	ENSG00000146147	Muscular LMNA-interacting protein	6	53794780-54131078	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA046654	Uncertain			Group enriched	6	heart muscle: 191.4;liver: 44.5;skeletal muscle: 50.0	esophagus: 17.1
MN1	MGCR, MGCR1, MGCR1-PEN	ENSG00000169184	Meningioma (disrupted in balanced translocation) 1	22	28144265-28197486	Cancer-related genes, Disease related genes, Protein evidence (Ezkurdia et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA003072	Uncertain			Tissue enriched	6	skeletal muscle: 26.1	gallbladder: 4.1
MYLK4	SgK085	ENSG00000145949	Myosin light chain kinase family, member 4	6	2663863-2751200	Enzymes, Predicted membrane proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level		HPA015860	Uncertain			Group enriched	6	kidney: 3.2;skeletal muscle: 11.9	esophagus: 1.2
MYO18A	KIAA0216, MysPDZ	ENSG00000196535	Myosin XVIIIA	17	27400528-27507430	Cytoskeleton related proteins, Plasma proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA019646, HPA021121	Supportive	Uncertain	Nucleus but not nucleoli, Cytoplasm, Golgi apparatus	Group enriched	6	heart muscle: 127.4;skeletal muscle: 394.4	bone marrow: 42.2
NOS1	nNOS, NOS	ENSG00000089250	Nitric oxide synthase 1 (neuronal)	12	117645947-117889975	Cancer-related genes, Cytoskeleton related proteins, Enzymes, Plasma proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	CAB002167	Uncertain			Tissue enriched	6	skeletal muscle: 16.0	salivary gland: 2.5
OBSCN	ARHGEF30, KIAA1556, KIAA1639, UNC89	ENSG00000154358	Obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF	1	228395831-228566577	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA019497, HPA021186	Supportive	Uncertain	Nucleus but not nucleoli, Plasma membrane, Cytoplasm	Tissue enriched	6	skeletal muscle: 308.3	heart muscle: 49.9
PRSS56		ENSG00000237412	Protease, serine, 56	2	233385173-233390422	Disease related genes, Enzymes, Potential drug targets, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level						Tissue enriched	6	skeletal muscle: 3.3	testis: 0.5
PTP4A3	PRL-3, PRL-R, PRL3	ENSG00000184489	Protein tyrosine phosphatase type IVA, member 3	8	142402093-142441620	Enzymes, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA003281	Uncertain			Group enriched	6	heart muscle: 130.4;skeletal muscle: 271.6	prostate: 33.5
PVALB	D22S749	ENSG00000100362	Parvalbumin	22	37196728-37215523	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB002515, HPA048536	Supportive			Group enriched	6	kidney: 43.8;skeletal muscle: 10.1	cerebral cortex: 4.7
S100A1	S100-alpha, S100A	ENSG00000160678	S100 calcium binding protein A1	1	153600402-153604513	Cancer-related genes, Plasma proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB002599, HPA006462	Supportive			Group enriched	6	heart muscle: 1532.0;salivary gland: 380.7;skeletal muscle: 880.5	thyroid gland: 144.7
SEMA6C	KIAA1869	ENSG00000143434	Sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6C	1	151104161-151119104	Predicted membrane proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level						Tissue enriched	6	skeletal muscle: 132.6	testis: 23.8
SGCA	A2, adhalin, ADL, DMDA2, LGMD2D, SCARMD1	ENSG00000108823	Sarcoglycan, alpha (50kDa dystrophin-associated glycoprotein)	17	48241575-48253292	Cytoskeleton related proteins, Disease related genes, Predicted membrane proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA007537	Supportive			Group enriched	6	heart muscle: 97.9;skeletal muscle: 192.0	esophagus: 22.3
SGCG	A4, DAGA4, DMDA, DMDA1, LGMD2C, MAM, MGC130048, SCARMD2, SCG3, TYPE	ENSG00000102683	Sarcoglycan, gamma (35kDa dystrophin-associated glycoprotein)	13	23755091-23899304	Cytoskeleton related proteins, Disease related genes, Plasma proteins, Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA007476, HPA011922	Supportive	Supportive	Nucleus but not nucleoli	Group enriched	6	heart muscle: 103.8;skeletal muscle: 66.2	adipose tissue: 13.5
SLC29A2	DER12, ENT2, HNP36	ENSG00000174669	Solute carrier family 29 (equilibrative nucleoside transporter), member 2	11	66129992-66139685	Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA018168	Uncertain	Uncertain	Nucleus but not nucleoli	Tissue enriched	6	skeletal muscle: 45.3	heart muscle: 7.2
SLC8A3	NCX3	ENSG00000100678	Solute carrier family 8 (sodium/calcium exchanger), member 3	14	70510934-70655787	Predicted membrane proteins, Protein evidence (Kim et al 2014), Transporters	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA001669	Uncertain			Group enriched	6	cerebral cortex: 10.3;skeletal muscle: 7.8	adrenal gland: 1.4
SMYD1	BOP, KMT3D, ZMYND22	ENSG00000115593	SET and MYND domain containing 1	2	88367299-88412906	Enzymes, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA062282	Supportive			Group enriched	6	heart muscle: 114.1;skeletal muscle: 174.3	smooth muscle: 24.3
TUBA8	TUBAL2	ENSG00000183785	Tubulin, alpha 8	22	18593097-18629321	Disease related genes, Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA043684, CAB046031, HPA063394	Uncertain			Group enriched	6	heart muscle: 89.9;skeletal muscle: 133.5;testis: 27.6	cerebral cortex: 14.9
AC011239.1		ENSG00000224361	Uncharacterized protein 	2	23729913-23747214		Evidence at transcript level	Evidence at transcript level							Group enriched	5	adrenal gland: 5.1;skeletal muscle: 1.9	testis: 0.6
ADCK3	CABC1, COQ8, SCAR9	ENSG00000163050	AarF domain containing kinase 3	1	227085237-227175246	Disease related genes, Enzymes, Mitochondrial proteins, Potential drug targets, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA018217	Supportive			Tissue enriched	5	skeletal muscle: 419.7	heart muscle: 77.1
